Timestamp,OrderID,Side,Quantity,Price,Status
2025-10-09 11:57:48,953553841,buy,0.10,1278.700,FILLED
2025-10-09 11:58:09,953554387,sell,0.10,1279.200,FILLED
2025-10-09 11:58:29,953558470,buy,0.10,1279.200,FILLED
2025-10-09 11:59:50,953558932,sell,0.10,1279.700,FILLED
2025-10-09 12:00:02,953567816,buy,0.10,1279.700,FILLED
2025-10-09 12:02:10,953569450,sell,0.10,1280.200,FILLED
2025-10-09 12:02:11,953587859,buy,0.10,1280.200,FILLED
2025-10-09 12:05:05,953588067,sell,0.10,1280.700,FILLED
2025-10-09 12:05:10,953607912,buy,0.10,1280.700,FILLED
2025-10-09 12:05:18,953608692,sell,0.10,1281.200,FILLED
2025-10-09 12:05:19,953609708,buy,0.10,1281.200,FILLED
2025-10-09 12:08:52,953633290,buy,0.10,1278.400,FILLED
2025-10-09 12:09:06,953633765,sell,0.10,1278.900,FILLED
